,Unnamed: 0,Unnamed: 0.1,First component,Second component,distance
16572,3247,3247,GO:0016563,GO:1902903,1.6068485086342232
16573,16081,16081,GO:0002456,GO:0010506,1.6065457205127032
16574,9619,9619,GO:0009628,GO:2000479,1.6064155751655749
16575,2336,2336,GO:0008292,GO:0006091,1.6062717035284322
16576,10163,10163,GO:0030193,GO:0061684,1.6060645703502847
16577,10660,10660,GO:0005249,GO:0032869,1.6055689766422336
16578,11441,11441,GO:0007259,GO:0051414,1.6054139601891655
16579,6112,6112,GO:1900452,GO:0038029,1.6052319961801151
16580,3995,3995,GO:0006970,GO:0008203,1.605047131019671
16581,14979,14979,GO:0043491,GO:2000479,1.6041830150525804
16582,9957,9957,GO:0032869,GO:0046656,1.6040049439765665
16583,11523,11523,GO:0007259,GO:0042987,1.603379340673343
16584,16618,16618,GO:0007571,GO:0072378,1.6033662014977892
16585,10174,10174,GO:0030193,GO:0007571,1.6022209729880441
16586,137,137,GO:0010506,GO:0050829,1.6017728295257292
16587,11768,11768,GO:0009649,GO:0004971,1.6017370501352195
16588,3217,3217,GO:0016563,GO:0010506,1.6008971062442308
16589,17619,17619,GO:0006958,GO:0008286,1.6
16590,17261,17261,GO:0002376,GO:0008203,1.5999806100930074
16591,14317,14317,GO:0009814,GO:0061684,1.5990229885353726
16592,13947,13947,GO:0030217,GO:0004915,1.598981839960325
16593,11393,11393,GO:0007259,GO:0050829,1.5986478412991068
16594,14630,14630,GO:0008203,GO:0016563,1.5985881589731368
16595,221,221,GO:0010506,GO:0009649,1.5983939421806304
16596,5167,5167,GO:0042417,GO:0030193,1.5978104021582282
16597,9269,9269,GO:0006412,GO:0030968,1.5977240656516971
16598,7187,7187,GO:0034205,GO:0007259,1.5975244562201083
16599,16664,16664,GO:0007571,GO:0008152,1.5972853109194456
16600,7578,7578,GO:0007623,GO:0032869,1.5972428044371418
16601,14875,14875,GO:0043491,GO:0010506,1.5970559113142235
16602,7975,7975,GO:0034696,GO:0006412,1.596888611904092
16603,140,140,GO:0010506,GO:0030157,1.596480371480372
16604,9922,9922,GO:0032869,GO:0030157,1.5958159262313634
16605,14690,14690,GO:0008203,GO:0007596,1.5957736347896532
16606,13614,13614,GO:2000772,GO:0019222,1.595328792843366
16607,17907,17907,GO:0042987,GO:0007259,1.5945965757995837
16608,13009,13009,GO:0000161,GO:0004915,1.5943033697345947
16609,17063,17063,GO:0060333,GO:1900452,1.5940389365648484
16610,15216,15216,GO:0061684,GO:0032869,1.5932082908273384
16611,1493,1493,GO:0004915,GO:0019722,1.5921731496842548
16612,13649,13649,GO:2000772,GO:0006099,1.5920308314873532
16613,12607,12607,GO:0010468,GO:0004915,1.5918886922891498
16614,14669,14669,GO:0008203,GO:0061621,1.591362261649083
16615,9971,9971,GO:0032869,GO:0033355,1.5908045658045658
16616,14827,14827,GO:0004971,GO:0009649,1.5904550572742793
16617,8823,8823,GO:0008286,GO:0061684,1.5904478037755632
16618,4965,4965,GO:0010628,GO:0008588,1.5903541533572494
16619,14142,14142,GO:2000479,GO:0005248,1.5903435537605681
16620,8309,8309,GO:0019372,GO:0010506,1.5897308965674786
16621,5144,5144,GO:0042417,GO:1900407,1.5896947255642908
16622,2615,2615,GO:0019722,GO:0006412,1.5892003765068778
16623,1414,1414,GO:0051098,GO:0032869,1.5891908283287592
16624,144,144,GO:0010506,GO:0051098,1.5883667046023366
16625,11431,11431,GO:0007259,GO:0046656,1.5883330370102111
16626,4824,4824,GO:1901554,GO:0007173,1.5873015873015874
16627,8720,8720,GO:0008286,GO:0051098,1.5840712219022124
16628,11088,11088,GO:0038029,GO:0019058,1.5837665442017594
16629,10160,10160,GO:0030193,GO:0004971,1.5836900619509318
16630,13645,13645,GO:2000772,GO:0043491,1.5835576937706688
16631,3459,3459,GO:0031016,GO:0008203,1.583172436681489
16632,1595,1595,GO:0004915,GO:0006119,1.5831674788010859
16633,5157,5157,GO:0042417,GO:0008286,1.5818734405690928
16634,12096,12096,GO:0001666,GO:1901554,1.5818713450292399
16635,16872,16872,GO:0030383,GO:0006690,1.5810708898944197
16636,13809,13809,GO:0043161,GO:0008588,1.5807065741276267
16637,11400,11400,GO:0007259,GO:0051098,1.5804349159612316
16638,11477,11477,GO:0007259,GO:0009649,1.5798587186110815
16639,15355,15355,GO:0031575,GO:0005249,1.579692695791767
16640,6978,6978,GO:1900407,GO:0051098,1.5795302907954718
16641,11411,11411,GO:0007259,GO:1900271,1.5790974173649617
16642,3000,3000,GO:0051726,GO:1900407,1.5786015571729854
16643,1480,1480,GO:0004915,GO:0030157,1.5777838146259202
16644,9995,9995,GO:0032869,GO:0005249,1.5767543080860076
16645,14074,14074,GO:2000479,GO:0040014,1.5758638323750551
16646,17858,17858,GO:0042987,GO:1901554,1.5757575757575757
16647,9940,9940,GO:0032869,GO:0016563,1.5745832191296958
16648,5907,5907,GO:0006098,GO:0004915,1.5745587465968982
16649,14959,14959,GO:0043491,GO:0007259,1.5742991640834072
16650,9987,9987,GO:0032869,GO:0009628,1.57364953886693
16651,9954,9954,GO:0032869,GO:0042417,1.5733399476215566
16652,12572,12572,GO:0045087,GO:0004971,1.5732028922680183
16653,10978,10978,GO:0031639,GO:0007571,1.5723045377236635
16654,7743,7743,GO:0050790,GO:2000479,1.5716524216524217
16655,9310,9310,GO:0006412,GO:0008653,1.5707465639446725
16656,371,371,GO:0072378,GO:0043161,1.5705443035044209
16657,14146,14146,GO:2000479,GO:0046718,1.5699162870811418
16658,8432,8432,GO:0019372,GO:0007571,1.5696351267779842
16659,2196,2196,GO:0019227,GO:1900407,1.5693868974088383
16660,12567,12567,GO:0045087,GO:2000479,1.569108178700209
16661,17532,17532,GO:0070053,GO:0070482,1.5690965381367858
16662,15068,15068,GO:0070482,GO:0036363,1.5690965381367858
16663,177,177,GO:0010506,GO:0032313,1.569078898123857
16664,13571,13571,GO:2000772,GO:0010628,1.5690598305853178
16665,10651,10651,GO:0005249,GO:0008286,1.5689434163051068
16666,2557,2557,GO:0019722,GO:0004915,1.5688159793422949
16667,9347,9347,GO:0006412,GO:2000772,1.5683621894791309
16668,11434,11434,GO:0007259,GO:0006098,1.5672461702209988
16669,15743,15743,GO:0001867,GO:0008286,1.5671936758893281
16670,69,69,GO:0007173,GO:0006412,1.5657124838239391
16671,16165,16165,GO:0002456,GO:0007259,1.5654914069285026
16672,2145,2145,GO:0019227,GO:0010506,1.5652056234099576
16673,1315,1315,GO:0006973,GO:0008203,1.5646604968739355
16674,11484,11484,GO:0007259,GO:0010468,1.5643476603363529
16675,873,873,GO:0030157,GO:0006412,1.564224927912711
16676,11435,11435,GO:0007259,GO:1900452,1.5641315980583266
16677,16691,16691,GO:0007571,GO:0030193,1.564045885539357
16678,14400,14400,GO:0000114,GO:0019372,1.563949938949939
16679,10453,10453,GO:0007267,GO:0010506,1.5637384828475298
16680,3013,3013,GO:0051726,GO:0008286,1.5632516207050369
16681,14643,14643,GO:0008203,GO:0010628,1.562588932806324
16682,1330,1330,GO:0006973,GO:0007571,1.5624735211096552
